order_id,customer_id,location_id,order_date,ship_date,ship_mode,order_priority
AG-2013-PF91653-41608,PF-91653,29,2013-11-30,2013-12-03,Second Class,Critical
AG-2013-PO88653-41634,PO-88653,20,2013-12-26,2013-12-30,Standard Class,High
AG-2013-RB95703-41278,RB-95703,10,2013-01-04,2013-01-04,Same Day,High
AG-2013-SZ100353-41413,SZ-100353,28,2013-05-19,2013-05-24,Standard Class,Medium
AG-2013-TS115053-41607,TS-115053,10,2013-11-29,2013-12-02,First Class,Medium
AG-2014-AG7653-41731,AG-7653,23,2014-04-02,2014-04-06,Standard Class,Medium
AG-2014-AH100753-41760,AH-100753,24,2014-05-01,2014-05-03,First Class,High
AG-2014-AR3453-41674,AR-3453,16,2014-02-04,2014-02-09,Standard Class,Medium
AG-2014-BO14253-41874,BO-14253,17,2014-08-23,2014-08-27,Second Class,High
AG-2014-BT14853-41912,BT-14853,13,2014-09-30,2014-10-04,Standard Class,High
AG-2014-CM21603-41755,CM-21603,10,2014-04-26,2014-05-01,Standard Class,Medium
AG-2014-CP20853-41889,CP-20853,30,2014-09-07,2014-09-10,Second Class,Critical
AG-2014-CS18603-41780,CS-18603,17,2014-05-21,2014-05-24,First Class,High
AG-2014-DB32703-41838,DB-32703,11,2014-07-18,2014-07-21,Second Class,High
AG-2014-DJ35103-41877,DJ-35103,10,2014-08-26,2014-08-29,Second Class,Medium
AG-2014-ES40803-41948,ES-40803,11,2014-11-05,2014-11-08,First Class,Medium
AG-2014-HF49953-41706,HF-49953,24,2014-03-08,2014-03-11,First Class,Medium
AG-2014-KE64203-41801,KE-64203,24,2014-06-11,2014-06-15,Standard Class,Medium
AG-2014-LW71253-41983,LW-71253,21,2014-12-10,2014-12-12,First Class,High
AG-2014-ML73953-41674,ML-73953,27,2014-02-04,2014-02-09,Standard Class,Medium
AG-2014-NF85953-41830,NF-85953,10,2014-07-10,2014-07-12,Second Class,High
AG-2014-RB96453-41894,RB-96453,12,2014-09-12,2014-09-14,First Class,Critical
AG-2014-RD95853-41712,RD-95853,11,2014-03-14,2014-03-18,Standard Class,High
AG-2014-RD95853-41875,RD-95853,16,2014-08-24,2014-08-28,Standard Class,Medium
AG-2014-SK99903-41881,SK-99903,10,2014-08-30,2014-09-02,Second Class,High
AG-2015-AC4203-42065,AC-4203,19,2015-03-02,2015-03-07,Standard Class,Medium
AG-2015-AM3603-42179,AM-3603,10,2015-06-24,2015-06-24,Same Day,Critical
AG-2015-AR5703-42075,AR-5703,23,2015-03-12,2015-03-16,Standard Class,High
AG-2015-BD16053-42094,BD-16053,22,2015-03-31,2015-04-02,Second Class,High
AG-2015-CA23103-42033,CA-23103,12,2015-01-29,2015-02-03,Standard Class,Medium
AG-2015-CC21003-42309,CC-21003,24,2015-11-01,2015-11-04,Second Class,Medium
AG-2015-CC22203-42259,CC-22203,24,2015-09-12,2015-09-16,Second Class,Medium
AG-2015-CD27903-42236,CD-27903,24,2015-08-20,2015-08-25,Standard Class,High
AG-2015-CL25653-42164,CL-25653,25,2015-06-09,2015-06-13,Standard Class,High
AG-2015-CR27303-42005,CR-27303,10,2015-01-01,2015-01-06,Standard Class,High
AG-2015-CR28203-42151,CR-28203,16,2015-05-27,2015-05-30,Second Class,Critical
AG-2015-CR28203-42314,CR-28203,14,2015-11-06,2015-11-07,First Class,High
AG-2015-DK32253-42304,DK-32253,20,2015-10-27,2015-10-31,Second Class,Medium
AG-2015-DL28653-42167,DL-28653,27,2015-06-12,2015-06-18,Standard Class,Medium
AG-2015-DR29403-42326,DR-29403,10,2015-11-18,2015-11-20,Second Class,Medium
AG-2015-DS31803-42046,DS-31803,10,2015-02-11,2015-02-17,Standard Class,Low
AG-2015-HR48303-42221,HR-48303,20,2015-08-05,2015-08-10,Standard Class,Medium
AG-2015-IL51003-42028,IL-51003,10,2015-01-24,2015-01-29,Second Class,Medium
AG-2015-JE54753-42005,JE-54753,23,2015-01-01,2015-01-06,Standard Class,High
AG-2015-JG51603-42028,JG-51603,10,2015-01-24,2015-01-30,Standard Class,Low
AG-2015-JL58353-42315,JL-58353,24,2015-11-07,2015-11-10,First Class,High
AG-2015-JO55503-42070,JO-55503,19,2015-03-07,2015-03-12,Standard Class,Medium
AG-2015-LD68553-42230,LD-68553,24,2015-08-14,2015-08-20,Standard Class,Medium
AG-2015-MO78003-42217,MO-78003,26,2015-08-01,2015-08-04,Second Class,Medium
AG-2015-MS79803-42363,MS-79803,10,2015-12-25,2016-01-01,Standard Class,Medium
AG-2015-PO88653-42017,PO-88653,20,2015-01-13,2015-01-15,First Class,Critical
AG-2015-RC99603-42185,RC-99603,24,2015-06-30,2015-07-05,Standard Class,High
AG-2015-RD96603-42342,RD-96603,24,2015-12-04,2015-12-10,Standard Class,Medium
AG-2015-RD99303-42208,RD-99303,18,2015-07-23,2015-07-28,Standard Class,Medium
AG-2015-RO97803-42365,RO-97803,24,2015-12-27,2015-12-31,Standard Class,Medium
AG-2015-RS94203-42167,RS-94203,16,2015-06-12,2015-06-14,Second Class,Medium
AG-2015-SB101703-42026,SB-101703,13,2015-01-22,2015-01-27,Standard Class,Medium
AG-2015-SL101553-42144,SL-101553,24,2015-05-20,2015-05-24,Standard Class,Medium
AG-2015-TB112503-42368,TB-112503,10,2015-12-30,2016-01-04,Second Class,Medium
AG-2015-YS118803-42365,YS-118803,10,2015-12-27,2016-01-01,Standard Class,Medium
AJ-2012-CM19359-40962,CM-19359,145,2012-02-23,2012-02-23,Same Day,Medium
AJ-2012-JH58209-41272,JH-58209,145,2012-12-29,2013-01-04,Standard Class,Medium
AJ-2012-RP92709-41165,RP-92709,145,2012-09-13,2012-09-19,Standard Class,Medium
AJ-2012-TC109809-41067,TC-109809,145,2012-06-07,2012-06-07,Same Day,Critical
AJ-2013-GM46809-41542,GM-46809,145,2013-09-25,2013-09-30,Standard Class,Medium
AJ-2013-SG108909-41580,SG-108909,145,2013-11-02,2013-11-05,First Class,High
AJ-2014-CA23109-41865,CA-23109,145,2014-08-14,2014-08-14,Same Day,Medium
AJ-2014-DC32859-41646,DC-32859,145,2014-01-07,2014-01-12,Standard Class,Medium
AJ-2014-GZ45459-41649,GZ-45459,145,2014-01-10,2014-01-12,Second Class,High
AJ-2014-JL58359-41662,JL-58359,145,2014-01-23,2014-01-27,Standard Class,High
AJ-2014-JR57009-41792,JR-57009,145,2014-06-02,2014-06-04,Second Class,High
AJ-2014-NC83409-41858,NC-83409,145,2014-08-07,2014-08-11,Second Class,High
AJ-2015-DJ34209-42368,DJ-34209,145,2015-12-30,2015-12-30,Same Day,High
AJ-2015-DR28809-42365,DR-28809,145,2015-12-27,2016-01-01,Standard Class,Medium
AJ-2015-GG46509-42246,GG-46509,145,2015-08-30,2015-09-04,Second Class,Medium
AJ-2015-GM44409-42059,GM-44409,145,2015-02-24,2015-03-01,Standard Class,Medium
AJ-2015-LW68259-42300,LW-68259,145,2015-10-23,2015-10-28,Standard Class,High
AJ-2015-MS73659-42258,MS-73659,145,2015-09-11,2015-09-16,Standard Class,Medium
AJ-2015-RD97209-42260,RD-97209,145,2015-09-13,2015-09-19,Standard Class,Medium
AJ-2015-SH99759-42263,SH-99759,145,2015-09-16,2015-09-18,Second Class,High
AL-2012-EM38252-41213,EM-38252,7,2012-10-31,2012-11-04,Standard Class,Medium
AL-2012-MC81302-41220,MC-81302,9,2012-11-07,2012-11-10,Second Class,High
AL-2012-SC102302-40970,SC-102302,6,2012-03-02,2012-03-04,Second Class,High
AL-2013-JD58952-41383,JD-58952,5,2013-04-19,2013-04-24,Standard Class,Medium
AL-2013-JD60152-41483,JD-60152,9,2013-07-28,2013-08-02,Standard Class,Medium
AL-2013-ML73952-41388,ML-73952,9,2013-04-24,2013-04-30,Standard Class,Medium
AL-2014-GA45152-41749,GA-45152,8,2014-04-20,2014-04-20,Same Day,Critical
AL-2014-NC85352-41993,NC-85352,9,2014-12-20,2014-12-25,Standard Class,Medium
AL-2014-TT114602-41863,TT-114602,5,2014-08-12,2014-08-14,First Class,Critical
AL-2015-JB59252-42073,JB-59252,8,2015-03-10,2015-03-12,Second Class,High
AM-2012-HM49806-41256,HM-49806,72,2012-12-13,2012-12-18,Standard Class,High
AM-2014-MG76956-41746,MG-76956,72,2014-04-17,2014-04-23,Standard Class,Low
AO-2012-AA4804-41080,AA-4804,32,2012-06-20,2012-06-24,Standard Class,Medium
AO-2012-BS18004-41191,BS-18004,35,2012-10-09,2012-10-13,Standard Class,High
AO-2012-DK31504-40940,DK-31504,35,2012-02-01,2012-02-04,Second Class,Critical
AO-2012-GK46204-40914,GK-46204,35,2012-01-06,2012-01-11,Standard Class,Medium
AO-2012-HZ49504-40916,HZ-49504,31,2012-01-08,2012-01-13,Standard Class,High
AO-2012-JK53704-41257,JK-53704,35,2012-12-14,2012-12-18,Standard Class,High
AO-2012-MA79954-40928,MA-79954,35,2012-01-20,2012-01-20,Same Day,High
AO-2012-RO97804-41105,RO-97804,33,2012-07-15,2012-07-19,Standard Class,High
AO-2012-RP98554-41247,RP-98554,35,2012-12-04,2012-12-11,Standard Class,Medium
AO-2012-SW104554-40942,SW-104554,35,2012-02-03,2012-02-10,Standard Class,Low
AO-2013-CA23104-41495,CA-23104,31,2013-08-09,2013-08-14,Standard Class,Medium
AO-2013-CC24754-41612,CC-24754,35,2013-12-04,2013-12-08,Standard Class,Medium
AO-2013-DH30754-41593,DH-30754,36,2013-11-15,2013-11-20,Standard Class,Medium
AO-2013-DK32254-41611,DK-32254,35,2013-12-03,2013-12-07,Standard Class,Medium
AO-2013-DL34954-41296,DL-34954,35,2013-01-22,2013-01-25,First Class,Medium
AO-2013-HJ48754-41546,HJ-48754,35,2013-09-29,2013-10-01,Second Class,Medium
AO-2013-JC53404-41476,JC-53404,35,2013-07-21,2013-07-24,First Class,Medium
AO-2013-JE57454-41544,JE-57454,32,2013-09-27,2013-10-02,Standard Class,Medium
AO-2013-LH69004-41590,LH-69004,35,2013-11-12,2013-11-12,Same Day,High
AO-2013-MG82054-41438,MG-82054,35,2013-06-13,2013-06-18,Standard Class,Medium
AO-2013-MO75004-41537,MO-75004,33,2013-09-20,2013-09-25,Standard Class,High
AO-2013-RD95854-41628,RD-95854,33,2013-12-20,2013-12-24,Standard Class,Medium
AO-2013-SF102004-41628,SF-102004,33,2013-12-20,2013-12-25,Standard Class,Medium
AO-2014-AS2854-41795,AS-2854,35,2014-06-05,2014-06-09,Standard Class,High
AO-2014-BP12904-42000,BP-12904,35,2014-12-27,2014-12-31,Second Class,High
AO-2014-CM26554-41726,CM-26554,35,2014-03-28,2014-04-01,Standard Class,High
AO-2014-CW19054-41942,CW-19054,35,2014-10-30,2014-11-04,Second Class,Medium
AO-2014-GM45004-41979,GM-45004,31,2014-12-06,2014-12-10,Standard Class,Medium
AO-2014-HG48454-41863,HG-48454,35,2014-08-12,2014-08-17,Standard Class,Medium
AO-2014-IG50854-41937,IG-50854,35,2014-10-25,2014-10-29,Second Class,High
AO-2014-JH59854-42004,JH-59854,35,2014-12-31,2015-01-03,First Class,Medium
AO-2014-JK60904-41787,JK-60904,35,2014-05-28,2014-06-02,Standard Class,High
AO-2014-JP54604-41983,JP-54604,35,2014-12-10,2014-12-15,Standard Class,Medium
AO-2014-LC69604-41957,LC-69604,31,2014-11-14,2014-11-18,Standard Class,High
AO-2014-LW71254-41964,LW-71254,34,2014-11-21,2014-11-27,Standard Class,Medium
AO-2014-MM79204-41956,MM-79204,35,2014-11-13,2014-11-17,Standard Class,Medium
AO-2014-RE94054-41983,RE-94054,31,2014-12-10,2014-12-16,Standard Class,Medium
AO-2014-SC103054-41942,SC-103054,35,2014-10-30,2014-11-05,Standard Class,Medium
AO-2015-AH5854-42151,AH-5854,35,2015-05-27,2015-06-01,Second Class,Medium
AO-2015-AJ9454-42231,AJ-9454,33,2015-08-15,2015-08-22,Standard Class,Medium
AO-2015-AZ7504-42241,AZ-7504,31,2015-08-25,2015-08-30,Standard Class,Medium
AO-2015-BD17254-42152,BD-17254,35,2015-05-28,2015-06-04,Standard Class,Low
AO-2015-BE14554-42223,BE-14554,33,2015-08-07,2015-08-10,Second Class,Medium
AO-2015-DC28504-42054,DC-28504,35,2015-02-19,2015-02-23,Standard Class,Medium
AO-2015-DR29404-42330,DR-29404,33,2015-11-22,2015-11-26,Standard Class,Medium
AO-2015-DV34654-42326,DV-34654,37,2015-11-18,2015-11-19,First Class,High
AO-2015-EP39154-42294,EP-39154,33,2015-10-17,2015-10-22,Second Class,High
AO-2015-GM45004-42265,GM-45004,35,2015-09-18,2015-09-24,Standard Class,Low
AO-2015-JF54154-42272,JF-54154,35,2015-09-25,2015-09-30,Standard Class,Medium
AO-2015-JM56554-42247,JM-56554,35,2015-08-31,2015-09-03,Second Class,High
AO-2015-KD63454-42312,KD-63454,35,2015-11-04,2015-11-08,Standard Class,High
AO-2015-KL66454-42369,KL-66454,35,2015-12-31,2016-01-04,Standard Class,High
AO-2015-LC69304-42258,LC-69304,31,2015-09-11,2015-09-11,Same Day,High
AO-2015-LC70504-42144,LC-70504,33,2015-05-20,2015-05-24,Standard Class,Medium
AO-2015-LM70654-42314,LM-70654,35,2015-11-06,2015-11-11,Standard Class,Medium
AO-2015-RM93754-42348,RM-93754,35,2015-12-10,2015-12-16,Standard Class,Medium
AO-2015-RW95404-42343,RW-95404,33,2015-12-05,2015-12-11,Standard Class,Medium
AO-2015-SC100204-42105,SC-100204,35,2015-04-11,2015-04-13,Second Class,High
AO-2015-SK99904-42017,SK-99904,35,2015-01-13,2015-01-18,Standard Class,Medium
AO-2015-TB113554-42106,TB-113554,35,2015-04-12,2015-04-16,Standard Class,High
AU-2012-AG6758-41153,AG-6758,144,2012-09-01,2012-09-01,Same Day,Critical
AU-2012-BS15908-41018,BS-15908,138,2012-04-19,2012-04-23,Second Class,Medium
AU-2012-DS30308-41138,DS-30308,141,2012-08-17,2012-08-21,Standard Class,Medium
AU-2012-JL51308-41118,JL-51308,140,2012-07-28,2012-08-02,Standard Class,Medium
AU-2012-LR70358-40995,LR-70358,144,2012-03-27,2012-04-01,Standard Class,Medium
AU-2012-PM89408-41033,PM-89408,138,2012-05-04,2012-05-08,Second Class,Medium
AU-2013-AM3608-41630,AM-3608,144,2013-12-22,2013-12-28,Standard Class,Medium
AU-2013-EH41858-41436,EH-41858,144,2013-06-11,2013-06-16,Standard Class,Medium
AU-2013-GM45008-41576,GM-45008,144,2013-10-29,2013-11-01,First Class,Medium
AU-2013-LA67808-41471,LA-67808,144,2013-07-16,2013-07-20,Standard Class,Medium
AU-2013-LB67958-41437,LB-67958,144,2013-06-12,2013-06-16,Standard Class,Medium
AU-2013-SK99908-41376,SK-99908,144,2013-04-12,2013-04-14,Second Class,High
AU-2013-SV108158-41629,SV-108158,144,2013-12-21,2013-12-24,First Class,Medium
AU-2014-AC6158-41908,AC-6158,144,2014-09-26,2014-09-26,Same Day,High
AU-2014-AG4958-41825,AG-4958,144,2014-07-05,2014-07-11,Standard Class,Medium
AU-2014-AH5858-41744,AH-5858,144,2014-04-15,2014-04-19,Standard Class,High
AU-2014-CK23258-41934,CK-23258,144,2014-10-22,2014-10-29,Standard Class,Medium
AU-2014-JM55808-41726,JM-55808,138,2014-03-28,2014-04-01,Standard Class,Medium
AU-2014-LE68108-41712,LE-68108,144,2014-03-14,2014-03-19,Standard Class,Medium
AU-2014-MO75008-41871,MO-75008,144,2014-08-20,2014-08-22,First Class,Medium
AU-2014-SN107108-41724,SN-107108,144,2014-03-26,2014-03-29,Second Class,High
AU-2015-AG7658-42255,AG-7658,144,2015-09-08,2015-09-12,Standard Class,High
AU-2015-BT16808-42187,BT-16808,144,2015-07-02,2015-07-07,Second Class,Medium
AU-2015-CA19658-42242,CA-19658,141,2015-08-26,2015-09-02,Standard Class,Medium
AU-2015-DA34508-42355,DA-34508,142,2015-12-17,2015-12-22,Standard Class,Medium
AU-2015-DD35708-42089,DD-35708,144,2015-03-26,2015-03-31,Second Class,Medium
AU-2015-DH36758-42052,DH-36758,144,2015-02-17,2015-02-20,Second Class,High
AU-2015-EB39758-42334,EB-39758,142,2015-11-26,2015-11-30,Standard Class,Medium
AU-2015-FM42158-42250,FM-42158,144,2015-09-03,2015-09-09,Standard Class,Medium
AU-2015-GB45308-42199,GB-45308,136,2015-07-14,2015-07-16,First Class,High
AU-2015-MD78608-42243,MD-78608,136,2015-08-27,2015-08-31,Standard Class,High
AU-2015-MK79058-42220,MK-79058,144,2015-08-04,2015-08-09,Standard Class,Medium
AU-2015-PF91208-42181,PF-91208,144,2015-06-26,2015-06-29,Second Class,Medium
AU-2015-SU106658-42083,SU-106658,139,2015-03-20,2015-03-26,Standard Class,Medium
BA-2014-ES408010-41902,ES-408010,146,2014-09-20,2014-09-22,Second Class,Medium
BK-2012-EB375017-41244,EB-375017,203,2012-12-01,2012-12-06,Standard Class,High
BK-2013-CM265517-41354,CM-265517,203,2013-03-21,2013-03-26,Standard Class,High
BK-2013-NW840017-41492,NW-840017,203,2013-08-06,2013-08-10,Second Class,High
BK-2014-GT471017-41811,GT-471017,203,2014-06-21,2014-06-26,Standard Class,Medium
BK-2015-ME732017-42236,ME-732017,205,2015-08-20,2015-08-26,Standard Class,Low
BK-2015-ML775517-42343,ML-775517,204,2015-12-05,2015-12-09,Standard Class,Medium
BK-2015-PG882017-42047,PG-882017,203,2015-02-12,2015-02-12,Same Day,Medium
BK-2015-RS987017-42046,RS-987017,203,2015-02-11,2015-02-15,Standard Class,High
BN-2012-BS159015-41026,BS-159015,185,2012-04-27,2012-05-01,Standard Class,High
BN-2012-DO343515-41172,DO-343515,192,2012-09-20,2012-09-25,Standard Class,High
BN-2012-JK520515-41172,JK-520515,192,2012-09-20,2012-09-21,First Class,High
BN-2012-NB865515-40937,NB-865515,190,2012-01-29,2012-02-04,Standard Class,Medium
BN-2012-RW963015-41216,RW-963015,186,2012-11-03,2012-11-07,Standard Class,Medium
BN-2013-AA37515-41380,AA-37515,191,2013-04-16,2013-04-21,Standard Class,Medium
BN-2013-AS22515-41597,AS-22515,190,2013-11-19,2013-11-23,Standard Class,Medium
BN-2013-CC267015-41454,CC-267015,191,2013-06-29,2013-07-03,Standard Class,Medium
BN-2013-HZ495015-41524,HZ-495015,192,2013-09-07,2013-09-10,First Class,Critical
BN-2014-BP109515-42003,BP-109515,188,2014-12-30,2015-01-03,Standard Class,High
BN-2014-CY274515-41877,CY-274515,187,2014-08-26,2014-08-30,Second Class,High
BN-2014-KB631515-41904,KB-631515,189,2014-09-22,2014-09-27,Standard Class,Medium
BN-2014-KD649515-41971,KD-649515,189,2014-11-28,2014-12-01,First Class,High
BN-2014-SW1045515-41853,SW-1045515,192,2014-08-02,2014-08-06,Second Class,Medium
BN-2015-AS1009015-42348,AS-1009015,186,2015-12-10,2015-12-14,Standard Class,High
BN-2015-GH441015-42072,GH-441015,190,2015-03-09,2015-03-09,Same Day,Medium
BN-2015-MB730515-42168,MB-730515,190,2015-06-13,2015-06-16,Second Class,Medium
BN-2015-PF916515-42335,PF-916515,190,2015-11-27,2015-12-03,Standard Class,Medium
BN-2015-RS942015-42158,RS-942015,185,2015-06-03,2015-06-07,Second Class,Medium
BN-2015-TB1135515-42063,TB-1135515,190,2015-02-28,2015-03-04,Standard Class,Medium
BN-2015-TH1111515-42045,TH-1111515,190,2015-02-10,2015-02-14,Standard Class,Medium
BN-2015-TP1156515-42266,TP-1156515,190,2015-09-19,2015-09-23,Standard Class,Medium
BN-2015-TS1143015-42251,TS-1143015,190,2015-09-04,2015-09-09,Standard Class,Medium
BO-2012-DK283513-41149,DK-283513,162,2012-08-28,2012-09-02,Standard Class,Medium
BO-2012-ES402013-41147,ES-402013,156,2012-08-26,2012-09-01,Standard Class,Medium
BO-2012-RB957013-41233,RB-957013,158,2012-11-20,2012-11-25,Second Class,Medium
BO-2012-SS1059013-41132,SS-1059013,161,2012-08-11,2012-08-13,Second Class,Critical
BO-2013-AM70513-41478,AM-70513,159,2013-07-23,2013-07-30,Standard Class,Low
BO-2013-BT130513-41305,BT-130513,157,2013-01-31,2013-02-04,Standard Class,Medium
BO-2013-CS217513-41523,CS-217513,161,2013-09-06,2013-09-08,First Class,High
BO-2013-DJ363013-41361,DJ-363013,161,2013-03-28,2013-04-02,Standard Class,High
BO-2013-GH441013-41502,GH-441013,163,2013-08-16,2013-08-20,Standard Class,High
BO-2013-JK573013-41528,JK-573013,156,2013-09-11,2013-09-17,Standard Class,Medium
BO-2013-LC714013-41622,LC-714013,160,2013-12-14,2013-12-18,Standard Class,Medium
BO-2013-MM828013-41437,MM-828013,156,2013-06-12,2013-06-12,Same Day,High
BO-2013-NR855013-41433,NR-855013,161,2013-06-08,2013-06-12,Standard Class,Medium
BO-2013-TZ1144513-41508,TZ-1144513,159,2013-08-22,2013-08-27,Standard Class,Medium
BO-2014-AF87013-41815,AF-87013,161,2014-06-25,2014-06-29,Second Class,Medium
BO-2014-HW493513-41837,HW-493513,161,2014-07-17,2014-07-19,Second Class,Critical
BO-2014-KB624013-41951,KB-624013,159,2014-11-08,2014-11-14,Standard Class,Medium
BO-2014-KH636013-41859,KH-636013,156,2014-08-08,2014-08-12,Standard Class,High
BO-2014-ML826513-41984,ML-826513,161,2014-12-11,2014-12-18,Standard Class,Low
BO-2014-PJ883513-41949,PJ-883513,158,2014-11-06,2014-11-08,Second Class,Critical
BO-2014-PO918013-41829,PO-918013,156,2014-07-09,2014-07-12,Second Class,Medium
BO-2014-RD966013-41958,RD-966013,163,2014-11-15,2014-11-15,Same Day,High
BO-2015-AA31513-42160,AA-31513,161,2015-06-05,2015-06-08,Second Class,Medium
BO-2015-CD279013-42161,CD-279013,158,2015-06-06,2015-06-10,Standard Class,High
BO-2015-DB291013-42014,DB-291013,157,2015-01-10,2015-01-15,Standard Class,Medium
BO-2015-DL331513-42266,DL-331513,161,2015-09-19,2015-09-21,Second Class,High
BO-2015-DS303013-42042,DS-303013,158,2015-02-07,2015-02-14,Standard Class,Medium
BO-2015-EB411013-42349,EB-411013,163,2015-12-11,2015-12-11,Same Day,Medium
BO-2015-JF549013-42255,JF-549013,158,2015-09-08,2015-09-15,Standard Class,Low
BO-2015-KA652513-42276,KA-652513,164,2015-09-29,2015-10-05,Standard Class,Medium
BO-2015-LC705013-42363,LC-705013,156,2015-12-25,2015-12-27,Second Class,Critical
BO-2015-ME732013-42181,ME-732013,161,2015-06-26,2015-06-29,Second Class,High
BO-2015-ML741013-42200,ML-741013,156,2015-07-15,2015-07-19,Standard Class,Medium
BO-2015-MS798013-42091,MS-798013,161,2015-03-28,2015-04-01,Second Class,Medium
BO-2015-MZ733513-42046,MZ-733513,156,2015-02-11,2015-02-15,Second Class,High
BO-2015-PB910513-42158,PB-910513,162,2015-06-03,2015-06-09,Standard Class,Medium
BO-2015-PB915013-42172,PB-915013,161,2015-06-17,2015-06-20,First Class,Medium
BO-2015-TC1114513-42180,TC-1114513,158,2015-06-25,2015-07-01,Standard Class,Medium
BO-2015-TS1165513-42065,TS-1165513,161,2015-03-02,2015-03-07,Second Class,Medium
BO-2015-TW1102513-42193,TW-1102513,161,2015-07-08,2015-07-15,Standard Class,Low
BO-2015-TW1102513-42224,TW-1102513,158,2015-08-08,2015-08-09,First Class,High
BO-2015-VG1179013-42222,VG-1179013,158,2015-08-06,2015-08-10,Standard Class,Medium
BU-2012-DE325519-41219,DE-325519,465,2012-11-06,2012-11-08,Second Class,Medium
BU-2012-EH394519-41265,EH-394519,470,2012-12-22,2012-12-28,Standard Class,Medium
BU-2012-HR477019-41114,HR-477019,467,2012-07-24,2012-07-31,Standard Class,Low
BU-2012-ME772519-41126,ME-772519,464,2012-08-05,2012-08-07,Second Class,Critical
BU-2012-VS1182019-41038,VS-1182019,467,2012-05-09,2012-05-16,Standard Class,Medium
BU-2013-AH1003019-41476,AH-1003019,461,2013-07-21,2013-07-25,Standard Class,Medium
BU-2013-EK379519-41593,EK-379519,467,2013-11-15,2013-11-15,Same Day,High
BU-2013-JC534019-41598,JC-534019,469,2013-11-20,2013-11-21,First Class,High
